name,campus,rollno,age
virat,ipl,18,36
ab devellers,ipl,17,38
Chris Gayle,IPL,333,40
Virat Kohli,IPL,122,34
AB de Villiers,IPL,133,39
MS Dhoni,IPL,183,41
Rohit Sharma,IPL,109,36
David Warner,BBL,126,37
Steve Smith,BBL,124,35
Glenn Maxwell,BBL,154,34
Kane Williamson,CPL,121,33
Brendon McCullum,CPL,158,42
Shane Watson,IPL,117,42
Andre Russell,CPL,121,35
Sunil Narine,CPL,109,35
Kieron Pollard,CPL,104,36
Faf du Plessis,IPL,120,39
Shikhar Dhawan,IPL,106,37
Jos Buttler,IPL,124,33
Ben Stokes,IPL,107,32
KL Rahul,IPL,132,31
Rishabh Pant,IPL,128,26
Chris Gayle,IPL,333,40
Virat Kohli,IPL,122,34
AB de Villiers,IPL,133,39
MS Dhoni,IPL,183,41
Rohit Sharma,IPL,109,36
David Warner,BBL,126,37
Steve Smith,BBL,124,35
Glenn Maxwell,BBL,154,34
Kane Williamson,CPL,121,33
Brendon McCullum,CPL,158,42
Shane Watson,IPL,117,42
Andre Russell,CPL,121,35
Sunil Narine,CPL,109,35
Kieron Pollard,CPL,104,36
Faf du Plessis,IPL,120,39
Shikhar Dhawan,IPL,106,37
Jos Buttler,IPL,124,33
Ben Stokes,IPL,107,32
KL Rahul,IPL,132,31
Rishabh Pant,IPL,128,26
Chris Gayle,IPL,333,40
Virat Kohli,IPL,122,34
AB de Villiers,IPL,133,39
MS Dhoni,IPL,183,41
Rohit Sharma,IPL,109,36
David Warner,BBL,126,37
Steve Smith,BBL,124,35
Glenn Maxwell,BBL,154,34
Kane Williamson,CPL,121,33
Brendon McCullum,CPL,158,42
Shane Watson,IPL,117,42
Andre Russell,CPL,121,35
Sunil Narine,CPL,109,35
Kieron Pollard,CPL,104,36
Faf du Plessis,IPL,120,39
Shikhar Dhawan,IPL,106,37
Jos Buttler,IPL,124,33
Ben Stokes,IPL,107,32
KL Rahul,IPL,132,31
Rishabh Pant,IPL,128,26
Chris Gayle,IPL,333,40
Virat Kohli,IPL,122,34
AB de Villiers,IPL,133,39
MS Dhoni,IPL,183,41
Rohit Sharma,IPL,109,36
David Warner,BBL,126,37
Steve Smith,BBL,124,35
Glenn Maxwell,BBL,154,34
Kane Williamson,CPL,121,33
Brendon McCullum,CPL,158,42
Shane Watson,IPL,117,42
Andre Russell,CPL,121,35
Sunil Narine,CPL,109,35
Kieron Pollard,CPL,104,36
Faf du Plessis,IPL,120,39
Shikhar Dhawan,IPL,106,37
Jos Buttler,IPL,124,33
Ben Stokes,IPL,107,32
KL Rahul,IPL,132,31
Rishabh Pant,IPL,128,26
Chris Gayle,IPL,333,40
Virat Kohli,IPL,122,34
AB de Villiers,IPL,133,39
MS Dhoni,IPL,183,41
Rohit Sharma,IPL,109,36
David Warner,BBL,126,37
Steve Smith,BBL,124,35
Glenn Maxwell,BBL,154,34
Kane Williamson,CPL,121,33
Brendon McCullum,CPL,158,42
Shane Watson,IPL,117,42
Andre Russell,CPL,121,35
Sunil Narine,CPL,109,35
Kieron Pollard,CPL,104,36
Faf du Plessis,IPL,120,39
Shikhar Dhawan,IPL,106,37
Jos Buttler,IPL,124,33
Ben Stokes,IPL,107,32
KL Rahul,IPL,132,31
Rishabh Pant,IPL,128,26
Chris Gayle,IPL,333,40
Virat Kohli,IPL,122,34
AB de Villiers,IPL,133,39
MS Dhoni,IPL,183,41
Rohit Sharma,IPL,109,36
David Warner,BBL,126,37
Steve Smith,BBL,124,35
Glenn Maxwell,BBL,154,34
Kane Williamson,CPL,121,33
Brendon McCullum,CPL,158,42
Shane Watson,IPL,117,42
Andre Russell,CPL,121,35
Sunil Narine,CPL,109,35
Kieron Pollard,CPL,104,36
Faf du Plessis,IPL,120,39
Shikhar Dhawan,IPL,106,37
Jos Buttler,IPL,124,33
Ben Stokes,IPL,107,32
KL Rahul,IPL,132,31
Rishabh Pant,IPL,128,26
Chris Gayle,IPL,333,40
Virat Kohli,IPL,122,34
AB de Villiers,IPL,133,39
MS Dhoni,IPL,183,41
Rohit Sharma,IPL,109,36
David Warner,BBL,126,37
Steve Smith,BBL,124,35
Glenn Maxwell,BBL,154,34
Kane Williamson,CPL,121,33
Brendon McCullum,CPL,158,42
Shane Watson,IPL,117,42
Andre Russell,CPL,121,35
Sunil Narine,CPL,109,35
Kieron Pollard,CPL,104,36
Faf du Plessis,IPL,120,39
Shikhar Dhawan,IPL,106,37
Jos Buttler,IPL,124,33
Ben Stokes,IPL,107,32
KL Rahul,IPL,132,31
Rishabh Pant,IPL,128,26
